iupac,log_solubility_mols_per_litre,smiles
Amigdalin,-0.77,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O 
Fenfuram,-3.3,Cc1occc1C(=O)Nc2ccccc2
citral,-2.06,CC(C)=CCCC(C)=CC(=O)
Picene,-7.87,c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43
Thiophene,-1.33,c1ccsc1
benzothiazole,-1.5,c2ccc1scnc1c2 
"2,2,4,6,6'-PCB",-7.32,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl
Estradiol,-5.03,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O
Dieldrin,-6.29,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl
Rotenone,-4.42,COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C 
2-pyrrolidone,1.07,O=C1CCCN1
2-Chloronapthalene,-4.14,Clc1ccc2ccccc2c1
1-Pentene ,-2.68,CCCC=C
Primidone,-2.64,CCC1(C(=O)NCNC1=O)c2ccccc2
Tetradecane,-7.96,CCCCCCCCCCCCCC
2-Chloropropane,-1.41,CC(C)Cl
2-Methylbutanol,-0.47,CCC(C)CO
Benzonitrile,-1,N#Cc1ccccc1
Diazinon,-3.64,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C
2-Undecanol,-2.94,CCCCCCCCCC(C)O
"2,2',3,4,6-PCB",-7.43,Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl 
Lenacil,-4.594,O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3
Phorate,-4.11,CCOP(=S)(OCC)SCSCC
Phenacetin,-2.35,CCOc1ccc(NC(=O)C)cc1
Dinitramine,-5.47,CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O
1-Heptanol,-1.81,CCCCCCCO
Theophylline,-1.39,Cn1c(=O)n(C)c2nc[nH]c2c1=O
Butethal,-1.661,CCCCC1(CC)C(=O)NC(=O)NC1=O
"P,P'-DDE",-6.9,ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2
Methyl octanoate,-3.17,CCCCCCCC(=O)OC
"1,4-Diethylbenzene ",-3.75,CCc1ccc(CC)cc1
Terbufos,-4.755,CCOP(=S)(OCC)SCSC(C)(C)C
Phenmedipham,-4.805,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1
"1,1-Dichloroethylene",-1.64,ClC(=C)Cl
1-Methylfluorene,-5.22,Cc1cccc2c1Cc3ccccc32
Valeraldehyde,-0.85,CCCCC=O
Diphenylamine,-3.504,N(c1ccccc1)c2ccccc2
Fenothiocarb,-3.927,CN(C)C(=O)SCCCCOc1ccccc1
Piperophos,-4.15,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C
1-Iodoheptane,-4.81,CCCCCCCI
3-Chlorobiphenyl,-4.88,c1c(Cl)cccc1c2ccccc2
4-Pentene-1-ol,-0.15,OCCCC=C
Cyclobutyl-5-spirobarbituric acid,-1.655,O=C2NC(=O)C1(CCC1)C(=O)N2
menthol,-2.53,CC(C)C1CCC(C)CC1O 
Isopropyl formate,-0.63,CC(C)OC=O
2-Heptanol ,-1.55,CCCCCC(C)O
p-Bromoacetanilide,-3.083,CC(=O)Nc1ccc(Br)cc1
brompyrazone,-3.127,c1ccccc1n2ncc(N)c(Br)c2(=O)
nifedipine,-4.76,COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C 
"2,7-dimethylquinoline",-1.94,c2c(C)cc1nc(C)ccc1c2 
1-Octyne ,-3.66,CCCCCCC#C
cyclobarbital,-2.17,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2 
Chrysene,-8.057,c1ccc2c(c1)ccc3c4ccccc4ccc23
Bromacil,-2.523,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O 
"2,2',3,3',5,6-PCB",-8.6,Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl 
2-Methylphenol,-0.62,Cc1ccccc1O
"2,2,5-Trimethylhexane",-5.05,CC(C)CCC(C)(C)C
"1,4-Dimethylnaphthalene ",-4.14,Cc1ccc(C)c2ccccc12
6-Methylchrysene,-6.57,Cc1cc2c3ccccc3ccc2c4ccccc14
2-Pentanone,-0.19,CCCC(=O)C
"2,2',3,3',5,5',6,6'-PCB",-9.15,Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl 
Methyl butyrate,-0.82,CCCOC(=O)CC
Triamcinolone,-3.68,CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO
p-Aminophenol,-0.8,Nc1ccc(O)cc1
Benznidazole,-2.81,O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2
"Atovaquone(0,430mg/ml) - neutral",-5.931,OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O
Trietazine,-4.06,CCNc1nc(Cl)nc(n1)N(CC)CC
Pyrazinamide,-0.667,NC(=O)c1cnccn1
Carbromal,-2.68,CCC(Br)(CC)C(=O)NC(N)=O
"2,2'-PCB",-5.27,Clc1ccccc1c2ccccc2Cl 
nitrofurantoin,-3.38,O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2 
Nitrofen,-5.46,Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2
Camphor,-1.96,CC1(C)C2CCC1(C)C(=O)C2
5-Allyl-5-phenylbarbital,-2.369,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1
Pentyl propanoate,-2.25,CCCCC(=O)OCC
Isopentyl acetate,-1.92,CC(C)CCOC(=O)C
3-Hexanoyloxymethylphenyltoin,-5.886,O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
"2,3',5-PCB",-6.01,Clc1cccc(c1)c2cc(Cl)ccc2Cl 
1-Bromopropane,-1.73,CCCBr
Propiconazole,-3.493,CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl
Formothion,-1.995,COP(=S)(OC)SCC(=O)N(C)C=O
4-methylpteridine,-0.466,Cc1ncnc2nccnc12
Thiourea,0.32,NC(=S)N
p-Xylene ,-2.77,Cc1ccc(C)cc1
"1,2-Diethylbenzene",-3.28,CCc1ccccc1CC
Hexachloroethane,-3.67,ClC(Cl)(Cl)C(Cl)(Cl)Cl
Flucythrinate,-6.876,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3
1-Nitropropane,-0.8,CCCN(=O)=O
Menthone,-2.35,CC(C)C1CCC(C)CC1=O
RTI 24,-5.36,CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 
"2,3-Dichloronitrobenzene",-3.48,O=N(=O)c1c(Cl)c(Cl)ccc1
thiamylal,-3.46,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O 
Fluoranthene,-6,c1ccc2c(c1)c3cccc4cccc2c34
Propylisopropylether,-1.34,CCCOC(C)C
"1,3-Dimethylnaphthalene",-4.29,Cc1cc(C)c2ccccc2c1
diethylstilbestrol,-4.07,CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 
Chlorothalonil,-5.64,c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1
"2,3',4',5-PCB",-7.25,Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2
styrene oxide,-1.6,C1OC1c2ccccc2 
Isopropylbenzene ,-3.27,CC(C)c1ccccc1
Deoxycorticosterone,-3.45,CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO
chlorquinox,-5.43,c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl) 
L-arabinose,0.39,C1OC(O)C(O)C(O)C1O
Dichloromethane,-0.63,ClCCl
1-Ethylnaphthalene ,-4.17,CCc1cccc2ccccc12
Methyl formate,0.58,COC=O
o-Nitrophenol,-1.74,Oc1ccccc1N(=O)=O
thymine,-1.506,Cc1c[nH]c(=O)[nH]c1=O 
2-Methylpropane,-2.55,CC(C)C
Inosine,-1.23,OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23
Ioxynil,-3.61,Oc1c(I)cc(C#N)cc1I
Niclosamide,-4.7,Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O
Pentane,-3.18,CCCCC
Phenol,0,c1ccccc1O
2-aminoanthracene,-5.17,Nc3ccc2cc1ccccc1cc2c3 
theobromine,-2.523,Cn1cnc2n(C)c(=O)[nH]c(=O)c12 
Isoquinoline,-1.45,c1ccc2cnccc2c1
Anilofos,-4.432,COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1
Hexylbenzene ,-5.21,CCCCCCc1ccccc1
2-Chlorobiphenyl,-4.54,Clc1ccccc1c2ccccc2
2-Methyl-1-Pentene,-3.03,CCCC(=C)C
"2,3,4-Trimethylpentane",-4.8,CC(C)C(C)C(C)C
Pentachlorobenzene,-5.65,Clc1cc(Cl)c(Cl)c(Cl)c1Cl
m-Nitrophenol,-1.01,Oc1cccc(c1)N(=O)=O
1-Decene,-5.51,CCCCCCCCC=C
Glyceryl triacetate,-0.6,CC(=O)OCC(COC(=O)C)OC(=O)C
dimethirimol,-2.24,CCCCc1c(C)nc(nc1O)N(C)C 
Cyfluthrin,-7.337,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2
Pyridine,0.76,c1ccncc1
1-Bromoheptane,-4.43,CCCCCCCBr
"3,4-Dimethylpyridine",0.36,Cc1ccncc1C
Fludrocortisone,-3.43,CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO 
ethiofencarb,-2.09,CCSCc1ccccc1OC(=O)NC 
Malonic acid diethylester,-0.82,CCOC(=O)CC(=O)OCC
d-Limonene,-4.26,CC1=CCC(CC1)C(C)=C
Indan,-3.04,C1Cc2ccccc2C1
p-t-Butylphenol,-2.41,CC(C)(C)c1ccc(O)cc1
Cyclopropyl-5-spirobarbituric acid,-1.886,O=C2NC(=O)C1(CC1)C(=O)N2 
m-Chloroiodobenzene,-3.55,Clc1cccc(I)c1
1-Bromonapthalene,-4.35,Brc1cccc2ccccc12
trans-2-Pentene ,-2.54,CC/C=C/C
"2,6-Dimethylpyridine",0.45,Cc1cccc(C)n1
Trichloroethylene,-1.96,ClC=C(Cl)Cl
1-Napthylamine,-1.92,Nc1cccc2ccccc12
m-Xylene ,-2.82,Cc1cccc(C)c1
2-hydroxypteridine,-1.947,Oc2ncc1nccnc1n2
Methanol,1.57,CO
Amobarbital,-2.468,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
2-Butanone,0.52,CCC(=O)C
5-fluorouracil,-1.077,Fc1c[nH]c(=O)[nH]c1=O 
tubercidin,-1.95,Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O 
"1,3-Benzenediol",0.81,Oc1cccc(O)c1
1-Hexanol,-1.24,CCCCCCO
1-Chloropentane,-2.73,CCCCCCl
"1,3-Butadiene",-1.87,C=CC=C
Propyl acetate,-0.72,CCCOC(=O)C
"5,6,7,8-tetrahydro-2-naphthol",-1.99,Oc2ccc1CCCCc1c2 
chloroacetamide,-0.02,NC(=O)CCl 
Iodofenphos,-6.62,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl
4-Chlorotoluene,-3.08,Cc1ccc(Cl)cc1
Metribuzin,-2.253,CSc1nnc(c(=O)n1N)C(C)(C)C
Tricresyl phosphate,-6.01,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc3ccccc3C)cc1
Caproaldehyde,-1.3,CCCCCC=O
Butamben,-3.082,CCCCOC(=O)c1ccc(N)cc1
RTI 3,-3.043,O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23 
Nerol,-2.46,CC(C)=CCC/C(C)=C\CO
"2,4'-PCB",-5.28,Clc1ccc(cc1)c2ccccc2Cl 
3-Octanoyloxymethylphenytoin,-6.523,O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
Nitroethane,-0.22,CCN(=O)=O
Ethalfluralin,-6.124,CCN(CC(C)=C)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O
"1,2,3,4-Tetrachlorobenzene",-4.57,Clc1ccc(Cl)c(Cl)c1Cl
Meprobamate,-1.807,CCCC(C)(COC(N)=O)COC(N)=O 
pregnenolone,-4.65,CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C 
Iodomethane,-1,CI
cycloheximide,-1.13,CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2 
3-Heptanoyloxymethylphenytoin,-6.301,O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
isophorone,-1.06,CC1=CC(=O)CC(C)(C)C1 
Butabarbital,-2.39,O=C1NC(=O)NC(=O)C1(CC)C(C)CC
5-Nonanone,-2.58,CCCCC(=O)CCCC
Glutethimide,-2.337,CCC1(CCC(=O)NC1=O)c2ccccc2 
3-Methylpentane,-3.68,CCC(C)CC
Etofenprox,-8.6,CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3
Methaqualone,-2.925,Cc1ccccc1n3c(C)nc2ccccc2c3=O
Chloroacetonitrile,-0.092,ClCC#N
Trichloronate,-5.752,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl
Ethisterone,-5.66,CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C 
Pyridazine,1.1,c1ccnnc1
"1,2,3,5-Tetrachlorobenzene",-4.63,Clc1cc(Cl)c(Cl)c(Cl)c1
Diosgenin,-7.32,C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21
o-Aminophenol,-0.72,Nc1ccccc1O
Ethyl nonanoate,-3.8,CCCCCCCCC(=O)OCC
metalaxyl,-1.601,COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C 
Propoxur,-2.05,CNC(=O)Oc1ccccc1OC(C)C
2-Chlorobutane,-1.96,CCC(C)Cl
2-Napthol,-2.28,Oc1ccc2ccccc2c1
Oxadiazon,-5.696,CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C
1-Hexyne ,-2.36,CCCCC#C
1-Nonyne ,-4.24,CCCCCCCC#C
2-Chlorotoluene,-3.52,Cc1ccccc1Cl
Diisopropyl ether ,-1.1,CC(C)OC(C)C
Dapsone,-3.094,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2
Methyl hydrazine,1.34,CNN
Propyne,-0.41,CC#C
Phoxim,-4.862,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1
Propetamphos,-3.408,CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C
Acrolein,0.57,C=CC=O
Hypoxanthine,-2.296,O=c1[nH]cnc2nc[nH]c12 
6-hydroxyquinoline,-2.16,Oc2ccc1ncccc1c2 
Fluorobenzene,-1.8,Fc1ccccc1
1-Chloropropane,-1.47,CCCCl
Ethyl acetate,-0.04,CCOC(=O)C
"2,2-Dimethylpentane",-4.36,CCCC(C)(C)C
Pentamethylbenzene,-4,Cc1cc(C)c(C)c(C)c1C
eucalyptol,-1.64,CC12CCC(CC1)C(C)(C)O2 
dibutyl sebacate,-3.896,CCCCOC(=O)CCCCCCCCC(=O)OCCCC
"4,4'-PCB",-6.56,Clc1ccc(cc1)c2ccc(Cl)cc2 
"2,3-Dimethylpyridine",0.38,Cc1cccnc1C
Carvone,-2.06,CC(=C)C1CC=C(C)C(=O)C1
Carbophenthion,-5.736,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1
"Etoposide (148-167,25mg/ml)",-3.571,COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67
Perylene,-8.804,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54
"2,4-Dinitrotoluene",-2.82,Cc1ccc(cc1N(=O)=O)N(=O)=O
2-bromonaphthalene,-4.4,c1c(Br)ccc2ccccc12 
Formetanate,-2.34,CNC(=O)Oc1cccc(N=CN(C)C)c1
6-methoxypteridine,-1.139,COc2cnc1ncncc1n2
nevirapine,-3.19,Cc3ccnc4N(C1CC1)c2ncccc2C(=O)Nc34 
Isazofos,-3.658,CCOP(=S)(OCC)Oc1nc(Cl)n(n1)C(C)C
"2-Methyl-1,3-Butadiene ",-2.03,CC(=C)C=C
linalool,-1.99,CC(C)=CCCC(O)(C)C=C
Fenthion,-4.57,COP(=S)(OC)Oc1ccc(SC)c(C)c1
Cyclohexanol ,-0.44,OC1CCCCC1
5-Allyl-5-methylbarbital,-1.16,O=C1NC(=O)NC(=O)C1(C)CC=C
Epiandrosterone,-4.16,CC34CCC1C(CCC2CC(O)CCC12C)C3CCC4=O
mannitol,0.06,OCC(O)C(O)C(O)C(O)CO 
4-Methylbiphenyl,-4.62,Cc1ccc(cc1)c2ccccc2
Atrazine,-3.85,CCNc1nc(Cl)nc(NC(C)C)n1
Phenylthiourea,-1.77,NC(=S)Nc1ccccc1
4-Heptanone,-1.3,CCCC(=O)CCC
"3,3-Dimethyl-2-butanone",-0.72,CC(=O)C(C)(C)C
4-Chlorophenol ,-0.7,Oc1ccc(Cl)cc1
Cyclohexanone,-0.6,O=C1CCCCC1
m-Methylaniline,-0.85,Cc1cccc(N)c1
Trichloroacetonitrile,-2.168,ClC(Cl)(Cl)C#N
norflurazon,-4.046,CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl
2-Decanone,-3.3,CCCCCCCCC(=O)C
Ipazine,-3.785,CCN(CC)c1nc(Cl)nc(NC(C)C)n1
Benzocaine,-2.616,CCOC(=O)c1ccc(N)cc1
"1,2,4-Trichlorobenzene",-3.59,Clc1ccc(Cl)c(Cl)c1
Triazolam,-4.09,Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34
"1,2-Benzenediol",0.62,Oc1ccccc1O
Reverse Transcriptase inhibitor 1,-2.62,CCN2c1ncccc1N(C)C(=O)c3cccnc23 
Dimethyl sulfide,-0.45,CSC
2-Bromotoluene,-2.23,Cc1ccccc1Br
O-Ethyl carbamate,0.85,CCOC(=O)N
megestrol acetate,-5.35,CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O 
"2,4-Dimethyl-3-pentanol",-1.22,CC(C)C(O)C(C)C
Napthalene,-3.6,c1ccc2ccccc2c1
N-Ethylaniline,-1.7,CCNc1ccccc1
Phenytoin,-4.097,O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3
"7,12-Dimethylbenz(a)anthracene",-7.02,Cc1c2ccccc2c(C)c3ccc4ccccc4c13
Dialifor,-6.34,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O
Methoxychlor,-6.89,COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl
TEFLUBENZURON,-7.28,Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(F)c(Cl)c2F 
3-Pentanoyloxymethylphenytoin,-4.678,O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
Monuron,-2.89,CN(C)C(=O)Nc1ccc(Cl)cc1
Flutriafol,-3.37,OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F
triamcinolone diacetate,-4.13,CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O 
1-Bromobutane,-2.37,CCCCBr
"1,2,4,5-Tetrabromobenzene",-6.98,Brc1cc(Br)c(Br)cc1Br
4-Methyl-2-pentanone,-0.74,CC(C)CC(=O)C
cycloate,-3.4,CCSC(=O)N(CC)C1CCCCC1 
4-Chloroanisole,-2.78,COc1ccc(Cl)cc1
Deltamethrin,-8.402,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2
Talbutal,-2.016,CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O
Fenitrothion,-4.04,COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1
1-Iodonapthalene,-4.55,Ic1cccc2ccccc12
Sorbitol,1.09,OCC(O)C(O)C(O)C(O)CO
Ethanethiol,-0.6,CCS
"1,1,2-Trichloroethane",-1.48,ClCC(Cl)Cl
Pyrolan,-2.09,CN(C)C(=O)Oc1cc(C)nn1c2ccccc2
o-Hydroxybenzamide,-1.82,NC(=O)c1ccccc1O
o-Nitrotoluene,-2.33,Cc1ccccc1N(=O)=O
"5,5-Diisopropylbarbital",-2.766,O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C
2-Ethyltoluene,-3.21,CCc1ccccc1C
1-Chloroheptane,-4,CCCCCCCCl
