iupac,log_solubility_mols_per_litre,smiles
"5,6-Dimethylchrysene",-7.01,Cc1c(C)c2c3ccccc3ccc2c4ccccc14
Betamethasone-17-valerate,-4.71,CCCCC(=O)OC3(C(C)CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)C(=O)CO
uric acid,-3.93,O=c2[nH]c(=O)c1[nH]c(=O)[nH]c1[nH]2 
"2,3,4,6-Tetrachlorophenol",-3.1,Oc1c(Cl)cc(Cl)c(Cl)c1Cl
"1,3-Dichlorobenzene",-3.04,Clc1cccc(Cl)c1
DDT,-7.15,Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl
Isobutyl formate,-1.01,CC(C)COC=O
thioanisole,-2.39,c1ccccc1SC
RTI 13,-4.207,CCN2c1nc(C)cc(C(F)(F)F)c1NC(=O)c3cccnc23 
Hexane ,-3.84,CCCCCC
methyl nicotinate,-0.46,COC(=O)c1cccnc1 
Bendroflumethiazide,-3.59,NS(=O)(=O)c3cc2c(NC(Cc1ccccc1)NS2(=O)=O)cc3C(F)(F)F
"2,3,3',4,4',5-PCB",-7.82,Clc1ccc(cc1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl 
Vinclozolin,-4.925,CC1(OC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2)C=C
Cyanazine,-3.15,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1
Triphenylene,-6.726,c1ccc2c(c1)c3ccccc3c4ccccc24
Dienestrol,-4.95,CC=C(C(=CC)c1ccc(O)cc1)c2ccc(O)cc2
Di(2-ethylhexyl)-phthalate,-6.96,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC
2-Ethyl pyridine,0.51,CCc1ccccn1
Naled,-2.28,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br
Biphenyl,-4.345,c1ccc(cc1)c2ccccc2
"2,2',4,4',6,6'-PCB",-8.71,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cc(Cl)cc2Cl 
Altretamine,-3.364,CN(C)c1nc(nc(n1)N(C)C)N(C)C
"2,4-Dimethyl-2-pentanol ",-0.92,CC(C)CC(C)(C)O
Cycloheptyl-5-spirobarbituric acid,-3.168,O=C2NC(=O)C1(CCCCCC1)C(=O)N2 
Fructose,0.64,OCC1OC(O)(CO)C(O)C1O
"3,5-Dimethylphenol",-1.4,Cc1cc(C)cc(O)c1
Barban,-4.37,ClCC#CCOC(=O)Nc1cccc(Cl)c1
p-Chloroacetanilide,-2.843,CC(=O)Nc1ccc(Cl)cc1
"2,2',3,4,5,5',6-PCB",-8.94,Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl
"2,2-Dimethylbutane",-3.55,CCC(C)(C)C
N-Methylaniline ,-1.28,CNc1ccccc1
"1,4-Pentadiene ",-2.09,C=CCC=C
Hydrocortisone 21-acetate,-4.88,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C
DNOC,-1.456,Cc1cc(cc(N(=O)=O)c1O)N(=O)=O
Lorazepam,-3.604,OC3N=C(c1ccccc1Cl)c2cc(Cl)ccc2NC3=O
3-Chlorophenol,-0.7,Oc1cccc(Cl)c1
m-Chlorobromobenzene,-3.21,Clc1cccc(Br)c1
chlorothiazide,-3.05,NS(=O)(=O)c2cc1c(N=CNS1(=O)=O)cc2Cl 
5-Methyl-5-ethylbarbituric acid,-1.228,O=C1NC(=O)NC(=O)C1(C)CC
2-Phenoxyethanol,-0.7,OCCOc1ccccc1
Diphenylmethane,-4.08,C(c1ccccc1)c2ccccc2
3-Octanol,-1.98,CCCCCC(O)CC
Flumetralin,-6.78,CCN(Cc1c(F)cccc1Cl)c2c(cc(cc2N(=O)=O)C(F)(F)F)N(=O)=O
Propazine,-4.43,CC(C)Nc1nc(Cl)nc(NC(C)C)n1
2-Methylpentanol,-1.11,CCCC(C)CO
2-Methyl-2-hexanol,-1.08,CCCCC(C)(C)O
Ethylbenzene,-2.77,CCc1ccccc1
5-(3-Methyl-2-butenyl)-5-ethylbarbital,-2.253,O=C1NC(=O)NC(=O)C1(CC)CC=C(C)C
Heptachlor,-6.317,ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl
butallylonal,-2.647,CCC(C)C1(CC(Br)=C)C(=O)NC(=O)NC1=O 
Fenpropathrin,-6.025,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C
Methoprene,-5.19,COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C
Ethyl propionate,-0.66,CCOC(=O)CC
Prometryn,-4.1,CSc1nc(NC(C)C)nc(NC(C)C)n1
Buturon,-3.9,CC(C#C)N(C)C(=O)Nc1ccc(Cl)cc1
"2,3-Dimethylnaphthalene",-4.72,Cc1cc2ccccc2cc1C
"2,4',5-PCB",-6.25,Clc1ccc(cc1)c2cc(Cl)ccc2Cl 
"2,3',4,4',5-PCB",-7.39,Clc1ccc(c(Cl)c1)c2cc(Cl)c(Cl)c(Cl)c2Cl 
2-cyanoguanidine,-0.31,NC(N)=NC#N 
Chloropicrin,-2,ClC(Cl)(Cl)N(=O)=O
"2,6-PCB",-5.21,Clc1cccc(Cl)c1c2ccccc2 
p-Methoxybenzaldehyde,-1.49,COc1ccc(C=O)cc1
4-Nitroacetanilide,-2.692,CC(=O)Nc1ccc(cc1)N(=O)=O
Ethyl heptanoate,-2.74,CCCCCCC(=O)OCC
p-Hydroxyacetanilide,-1.03,CC(=O)Nc1ccc(O)cc1
indazole,-2.16,c2ccc1[nH]ncc1c2 
triamcinolone acetonide,-4.31,CC5(C)OC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O5)C(=O)CO 
guanine,-3.583,Nc2nc1[nH]cnc1c(=O)[nH]2 
Methyl acetate,0.46,COC(=O)C
Stanolone,-4.743,CC34CCC1C(CCC2CC(=O)CCC12C)C3CCC4O 
1-Hexene-3-ol,-0.59,CCCC(O)C=C
norbormide,-3.931,OC(C1=CC2C5C(C1C2=C(c3ccccc3)c4ccccn4)C(=O)NC5=O)(c6ccccc6)c7ccccn7 
Dibutyl ether ,-1.85,CCCCOCCCC
1-Dodecanol,-4.8,CCCCCCCCCCCCO
RTI 6,-3.36,CCN2c1nc(N(C)(CCO))ccc1NC(=O)c3cccnc23 
2-Methyl-2-pentanol,-0.49,CCCC(C)(C)O
Flucytosine,-0.972,Nc1nc(=O)[nH]cc1F
stadacaine,-3.84,CCCCOc1ccc(C(=O)OCC)c(c1)N(CC)CC 
2-Methyl-2-heptanol,-1.72,CCCCCC(C)(C)O
Hexamethylbenzene,-5.23,Cc1c(C)c(C)c(C)c(C)c1C
Thymol,-2.22,CC(C)c1ccc(C)cc1O
Pteridine,0.02,c2cnc1ncncc1n2
Parathion,-4.66,CCOP(=S)(OCC)Oc1ccc(cc1)N(=O)=O
Methane,-0.9,C
indoline,-1.04,c2ccc1NCCc1c2 
1-Nitronapthalene,-3.54,O=N(=O)c1cccc2ccccc12
3-Methyl-2-pentanone,-0.67,CCC(C)C(=O)C
isoguanine,-3.401,Nc1nc(O)nc2nc[nH]c12 
bromadiolone,-4.445,OC(CC(c1ccccc1)c3c(O)c2ccccc2oc3=O)c4ccc(cc4)c5ccc(Br)cc5 
Nitromethane,0.26,CN(=O)=O
Triallate,-4.88,CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl
"1,5-Hexadiene ",-2.68,C=CCCC=C
Indole,-1.52,c2ccc1[nH]ccc1c2
Androstenedione,-3.69,CC34CCC1C(CCC2=CC(=O)CCC12C)C3CCC4=O
1-Hexene,-3.23,CCCCC=C
Xipamide,-3.79,Cc1cccc(C)c1NC(=O)c2cc(c(Cl)cc2O)S(N)(=O)=O
Ethylcyclohexane,-4.25,CCC1CCCCC1
2-Nonanone,-2.58,CCCCCCCC(=O)C
Mebendazole,-3.88,COC(=O)Nc2nc1ccc(cc1[nH]2)C(=O)c3ccccc3
Chloropham,-3.38,CC(C)OC(=O)Nc1cccc(Cl)c1
RTI 12,-4.114,CCN2c1nc(Cl)ccc1N(C)C(=O)c3cccnc23 
Carbaryl,-3.224,CNC(=O)Oc1cccc2ccccc12
Ethyne,0.29,C#C
"3,5-Dimethylpyridine",0.38,Cc1cncc(C)c1
"1,4-Cyclohexadiene",-2.06,C1C=CCC=C1
Mecarbam,-2.518,CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC
1-Phenylethanol,-0.92,CC(O)c1ccccc1
"1,2-Dichloropropane",-1.6,CC(Cl)CCl
2-Ethyl-2-hexanal,-2.46,CCCC=C(CC)C=O
Disulfoton,-4.23,CCOP(=S)(OCC)SCCSCC
methyltestosterone acetate,-5.284,CC(=O)OC3(C)CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C 
"2,4,6-PCB",-6.14,Clc1ccc(cc1)c2c(Cl)cccc2Cl 
difluron,-6.02,Fc1cccc(F)c1C(=O)NC(=O)Nc2ccc(Cl)cc2
Triclosan,-4.46,Oc1cc(Cl)ccc1Oc2ccc(Cl)cc2Cl
diisooctyl phthalate,-6.637,c1(C(=O)OCCCCCC(C)(C))c(C(=O)OCCCCCC(C)(C))cccc1
Corticosterone,-3.24,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO
"1,3,5-Trimethylbenzene ",-3.4,Cc1cc(C)cc(C)c1
dioctyl phthalate,-5.115,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC 
1-Pentadecanol,-6.35,CCCCCCCCCCCCCCCO
"2,2',6,6'-PCB",-7.39,Clc1cccc(Cl)c1c2c(Cl)cccc2Cl 
"5,5-Dimethylbarbituric acid",-1.742,O=C1NC(=O)NC(=O)C1(C)C
2-Iodopropane,-2.09,CC(C)I
"1,2-Dinitrobenzene",-3.1,O=N(=O)c1ccccc1N(=O)=O
3-Methyl-2-butanone,-0.12,CC(C)C(=O)C
Hexadecane,-8.4,CCCCCCCCCCCCCCCC
"1,8-Cineole",-1.74,CC12CCC(CC1)C(C)(C)O2
Tricyclazole,-2.07,Cc2cccc3sc1nncn1c23 
2-Octanone,-2.05,CCCCCCC(=O)C
Methyl nonanoate,-3.38,CCCCCCCCC(=O)OC
"1,4-Difluorobenzene",-1.97,Fc1ccc(F)cc1
Thalidomide,-2.676,O=C1N(C2CCC(=O)NC2=O)C(=O)c3ccccc13
Trifluralin,-5.68,CCCN(CCC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O
Ethanol,1.1,CCO
Cyclopentyl-5-spirobarbituric acid,-2.349,O=C2NC(=O)C1(CCCC1)C(=O)N2
Carbetamide,-1.83,c1c(NC(=O)OC(C)C(=O)NCC)cccc1
phenothrin,-5.24,CC(C)=CC3C(C(=O)OCc2cccc(Oc1ccccc1)c2)C3(C)C 
Cycluron,-2.218,CN(C)C(=O)NC1CCCCCCC1
Mirex,-6.8,ClC1(C2(Cl)C3(Cl)C4(Cl)C5(Cl)C1(Cl)C3(Cl)Cl)C5(Cl)C(Cl)(Cl)C24Cl
1-Bromooctane,-5.06,CCCCCCCCBr
Benomyl,-4.883,CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc12
aminopyrine,-0.364,CN(C)c2c(C)n(C)n(c1ccccc1)c2=O 
3-Pentanol,-0.24,CCC(O)CC
p-Nitrotoluene,-2.49,Cc1ccc(cc1)N(=O)=O
4-Methylpentanol,-1.14,CC(C)CCCO
Norethisterone,-4.57,CC34CCC1C(CCC2=CC(=O)CCC12O)C3CCC4(O)C#C
bromopropylate,-4.93,CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c2ccc(Br)cc2 
Pyrazon,-2.878,Nc2cnn(c1ccccc1)c(=O)c2Cl
2-Methylbutan-2-ol,0.15,CCC(C)(C)O
p-Cresol,-0.73,Cc1ccc(O)cc1
Ethyl formate,0.15,CCOC=O
"N,N-Dimethylaniline",-1.92,CN(C)c1ccccc1
Decalin,-5.19,C1CCC2CCCCC2C1
Butanethiol ,-2.18,CCCCS
Benzo(e)pyrene,-7.8,c1ccc2c(c1)c3cccc4ccc5cccc2c5c43
Tetrachloroethylene,-2.54,ClC(=C(Cl)Cl)Cl
3-Pentanone,-0.28,CCC(=O)CC
Acrylonitrile,0.15,C=CC#N
Flumethasone,-5.613,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
2-Hexanone,-0.8,CCCCC(=O)C
Terbumeton,-3.239,CCNc1nc(NC(C)(C)C)nc(OC)n1
3-Methylheptane,-5.16,CCCCC(C)CC
"1,2-Dibromoethane",-1.68,BrCCBr
Isoprocarb,-2.863,CNC(=O)Oc1ccccc1C(C)C
Niridazole,-3.22,O=C1NCCN1c2ncc(s2)N(=O)=O
Benzo(a)fluorene,-6.68,C1c2ccccc2c3ccc4ccccc4c13
2-Chloroanisole,-2.46,COc1ccccc1Cl
Bromophos,-6.09,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl
Quinonamid,-5.03,ClC(Cl)CC(=O)NC2=C(Cl)C(=O)c1ccccc1C2=O
"P,P'-DDD",-7.2,ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2 
Methyl acrylate,-0.22,COC(=O)C=C
Chloroxuron,-4.89,CN(C)C(=O)Nc2ccc(Oc1ccc(Cl)cc1)cc2
Azobenzene,-4.45,N(=Nc1ccccc1)c2ccccc2
4-Isopropyltoluene,-3.77,CC(C)c1ccc(C)cc1
"2,6-Dichlorophenol",-1.79,Oc1c(Cl)cccc1Cl
Sucrose,0.79,OCC2OC(OC1(CO)OC(CO)C(O)C1O)C(O)C(O)C2O 
d-inositol,0.35,OC1C(O)C(O)C(O)C(O)C1O
Dyphylline,-0.17,Cn2c(=O)n(C)c1ncn(CC(O)CO)c1c2=O
Chloramphenicol,-2.111,OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)N(=O)=O
3-Ethyl-3-pentanol,-0.85,CCC(O)(CC)CC
Epitostanol,-5.41,CC45CCC2C(CCC3CC1SC1CC23C)C4CCC5O
"1,2-Dibromobenzene",-3.5,Brc1ccccc1Br
"2,4,6-Trichlorophenol",-2.34,Oc1c(Cl)cc(Cl)cc1Cl
oryzalin,-5.16,CCCN(CCC)c1c(cc(cc1N(=O)=O)S(N)(=O)=O)N(=O)=O
RTI 20,-4.799,C2c1ccccc1N(CCF)C(=O)c3ccccc23 
"2,4-Dimethyl-3-pentanone",-1.3,CC(C)C(=O)C(C)C
5-(3-Methyl-2-butenyl)-5-isoPrbarbital,-2.593,O=C1NC(=O)NC(=O)C1(C(C)C)CC=C(C)C
gentisin,-2.943,c1c(O)C2C(=O)C3cc(O)ccC3OC2cc1(OC)
Caffeine,-0.876,Cn1cnc2n(C)c(=O)n(C)c(=O)c12
Spironolactone,-4.173,CC(=O)SC4CC1=CC(=O)CCC1(C)C5CCC2(C)C(CCC23CCC(=O)O3)C45
"3,4-Dimethylphenol",-1.38,Cc1ccc(O)cc1C
Diphenyl ether ,-3.96,O(c1ccccc1)c2ccccc2
"2,2',4,4',5,5'-PCB",-8.56,Clc1cc(Cl)c(cc1Cl)c2cc(Cl)c(Cl)cc2Cl 
nicotinamide,0.61,NC(=O)c1cccnc1 
Thiophenol ,-2.12,Sc1ccccc1
XMC,-2.581,CNC(=O)Oc1cc(C)cc(C)c1
Chlordane,-6.86,ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl
Dimethyldisulfide,-1.44,CSSC
Benzamide,-0.96,NC(=O)c1ccccc1
o-Chlorobromobenzene,-3.19,Clc1ccccc1Br
Monotropitoside,-0.742,COC(=O)c1ccccc1OC2OC(COC3OCC(O)C(O)C3O)C(O)C(O)C2O
3-Heptanol ,-1.47,CCCCC(O)CC
RTI 15,-4.554,CCN2c1nc(C)cc(C)c1NC(=O)c3cccnc23 
"3,5-Dichlorophenol",-1.34,Oc1cc(Cl)cc(Cl)c1
1-Methylphenanthrene,-5.85,Cc1cccc2c1ccc3ccccc32
2-Ethyl-1-hexanol,-2.11,CCCCC(CC)CO
Diallate,-4.286,CC(C)N(C(C)C)C(=O)SCC(=CCl)Cl
Toluene ,-2.21,Cc1ccccc1
Nitrapyrin,-3.76,Clc1cccc(n1)C(Cl)(Cl)Cl
Cycloheptene,-3.18,C1CCC=CCC1
Thiram,-3.9,CN(C)C(=S)SSC(=S)N(C)C 
Griseofulvin,-3.246,COC1=CC(=O)CC(C)C13Oc2c(Cl)c(OC)cc(OC)c2C3=O
1-Decanol,-3.63,CCCCCCCCCCO
"3,3-Dimethylpentane",-4.23,CCC(C)(C)CC
vamidothion,1.144,CNC(=O)C(C)SCCSP(=O)(OC)(OC)
"2,3,4,5-Tetrachlorophenol",-3.15,Oc1cc(Cl)c(Cl)c(Cl)c1Cl
Butyraldehyde,-0.01,CCCC=O
dexamethasone acetate,-4.9,CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O)C(=O)COC(C)=O 
Butane,-2.57,CCCC
o-Methoxyphenol,-1.96,COc1ccccc1O
Fluoromethalone,-4.099,CC1CC2C3CCC(O)(C(=O)C)C3(C)CC(O)C2(F)C4(C)C=CC(=O)C=C14
Pentachloroethane,-2.6,ClC(Cl)C(Cl)(Cl)Cl
Diethyl phthalate ,-2.35,CCOC(=O)c1ccccc1C(=O)OCC
2-Methylpropan-1-ol,0.1,CC(C)CO
Isobutylbenzene,-4.12,CC(C)Cc1ccccc1
Diiodomethane,-2.34,ICI
4-Heptanol,-1.4,CCCC(O)CCC
Pentyl acetate,-1.89,CCCCCOC(=O)C
"2,3,5,6-Tetrachlorophenol",-3.37,Oc1c(Cl)c(Cl)cc(Cl)c1Cl
Propylbenzene ,-3.37,CCCc1ccccc1
"1,2-Dichlorotetrafluoroethane",-2.74,FC(F)(Cl)C(F)(F)Cl
2-butenal,0.32,CC=CC=O
tetramethylurea,0.94,CN(C)C(=O)N(C)C 
"1,2,4,5-Tetramethylbenzene",-4.59,Cc1cc(C)c(C)cc1C
norethindrone acetate,-4.8,CC(=O)OC3(CCC4C2CCC1=CC(=O)CCC1C2CCC34C)C#C
Ditalimfos,-3.35,CCOP(=S)(OCC)N2C(=O)c1ccccc1C2=O
salicylanilide,-3.59,c1ccccc1NC(=O)c2c(O)cccc2
Sulfallate,-3.39,CCN(CC)C(=S)SCC(Cl)=C
Chloroethane,-1.06,ClCC
Mefluidide,-3.24,CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C
Piperine,-3.46,O=C(C=CC=Cc2ccc1OCOc1c2)N3CCCCC3
cis-2-Pentene,-2.54,CC/C=C\C
thiofanox,-1.62,CNC(=O)ON=C(CSC)C(C)(C)C 
Cyclooctyl-5-spirobarbituric acid,-2.982,O=C2NC(=O)C1(CCCCCCC1)C(=O)N2
butacarb,-4.24,c1(C(C)(C)C)cc(C(C)(C)C)cc(OC(=O)NC)c1
Eriodictyol,-3.62,Oc2cc(O)c1C(=O)CC(Oc1c2)c3ccc(O)c(O)c3
Benzophenone,-3.12,O=C(c1ccccc1)c2ccccc2
Eicosane,-8.172,CCCCCCCCCCCCCCCCCCCC
hydrazobenzene,-2.92,N(Nc1ccccc1)c2ccccc2 
2-Ethyl-1-butanol,-1.17,CCC(CC)CO
4-hydroxypyridine,1.02,Oc1ccncc1
"cis 1,2-Dichloroethylene",-1.3,Cl\C=C/Cl
Methylcyclopentane,-3.3,CC1CCCC1
4-Methyl-2-pentanol,-0.8,CC(C)CC(C)O
RTI 11,-3.928,O2c1ccc(N)cc1N(C)C(=O)c3cc(C)ccc23 
"2,2-Dimethylpropanol",-0.4,CC(C)(C)CO
Triadimefon,-3.61,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n2cncn2
Isocarboxazid,-2.461,Cc1cc(no1)C(=O)NNCc2ccccc2
Propylene,-1.08,CC=C
Dichlorophen,-3.953,Oc1ccc(Cl)cc1Cc2cc(Cl)ccc2O
Desmedipham,-4.632,CCOC(=O)Nc2cccc(OC(=O)Nc1ccccc1)c2 
Anthraquinone,-5.19,O=C1c2ccccc2C(=O)c3ccccc13
2-Octanol,-2.09,CCCCCCC(C)O
Oxycarboxin,-2.281,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1
Butylbenzene,-4.06,CCCCc1ccccc1
parabanic acid,-0.4,O=C1NC(=O)C(=O)N1 
Abate,-6.237,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1
Chlorthalidone,-3.451,NS(=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc23
Isobutyl acetate,-1.21,CC(C)COC(=O)C
"2,2,3-Trimethylbutane",-4.36,CC(C)C(C)(C)C
"2,3,3',4,4'6-PCB",-7.66,Clc1ccc(c(Cl)c1Cl)c2c(Cl)cc(Cl)c(Cl)c2Cl 
Phthalonitrile,-2.38,N#Cc1ccccc1C#N
m-Nitrotoluene,-2.44,Cc1cccc(c1)N(=O)=O
halothane,-1.71,FC(F)(F)C(Cl)Br 
Oxamyl,0.106,CNC(=O)ON=C(SC)C(=O)N(C)C
Thiometon,-3.091,CCSCCSP(=S)(OC)OC
2-Methylbutane,-3.18,CCC(C)C
Stirofos,-4.522,COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl
